beta,repeat,generation,unique_ratio,similarity
100.0,0,482,0.3,0.2031447048421123
100.0,0,186,0.41,0.24174755458670089
100.0,0,257,0.398,0.21723405942133964
100.0,0,98,0.646,0.18631238363963737
100.0,0,182,0.44,0.2041469777872159
100.0,0,299,0.388,0.2160892512308668
100.0,0,136,0.544,0.1977800712045099
100.0,0,207,0.358,0.1787899408469553
100.0,0,15,0.85,0.10106358953500805
100.0,0,93,0.732,0.1574293589325489
100.0,0,132,0.552,0.23534218114777822
100.0,0,249,0.342,0.2920505264735479
100.0,0,174,0.468,0.1737102050928567
100.0,0,245,0.306,0.2758243257173352
100.0,0,10,0.874,0.11104584166102843
100.0,0,170,0.382,0.22386067679945257
100.0,0,287,0.372,0.18198676875485806
100.0,0,8,0.85,0.12844065117799464
100.0,0,120,0.52,0.22501579143681877
100.0,0,237,0.366,0.26239490987050446
100.0,0,308,0.368,0.20929345777362507
100.0,0,18,0.888,0.09589753110021894
100.0,0,162,0.45,0.19670224091587102
100.0,0,233,0.36,0.1796502540442091
100.0,0,279,0.438,0.22410509741611057
100.0,0,66,0.64,0.17490707935798558
100.0,0,275,0.426,0.23287732456369764
100.0,0,271,0.366,0.19848673687380422
100.0,0,388,0.344,0.2167772532235146
100.0,0,61,0.694,0.14232327195935643
100.0,0,225,0.34,0.27541632465583704
100.0,0,221,0.398,0.24169360562940098
-10.0,3,338,0.416,0.7302212282102679
-10.0,3,263,0.516,0.6077449312924508
-10.0,3,334,0.404,0.7809927362500954
-10.0,3,69,0.464,0.5059540808447732
-10.0,3,376,0.378,0.8023259493856205
-10.0,3,326,0.41,0.722683773284242
-10.0,3,34,0.362,0.5164297363552817
-10.0,3,251,0.554,0.656050529025912
-10.0,3,322,0.424,0.7366311163704893
-10.0,3,368,0.424,0.7741898856684274
-10.0,3,439,0.414,0.7491790641202578
-10.0,3,364,0.406,0.7722902918671154
-10.0,3,360,0.404,0.7478440942373302
-10.0,3,477,0.396,0.7424926855537549
-10.0,3,314,0.45,0.7682497858497017
-10.0,3,310,0.44,0.6845111676914828
-10.0,3,427,0.384,0.7890290186473212
-10.0,3,37,0.4,0.5205078334923036
-10.0,3,352,0.434,0.6545817795009188
-10.0,3,423,0.398,0.7943309341057008
-10.0,3,469,0.372,0.6785834534812842
-10.0,3,85,0.506,0.4864426982385283
-10.0,3,394,0.372,0.6932162006810726
-10.0,3,465,0.412,0.7699779983827674
-10.0,3,390,0.414,0.7966235037401641
-10.0,3,80,0.488,0.4775557692255217
-10.0,3,415,0.386,0.7979040382660173
-10.0,3,119,0.5,0.47691460903816374
-10.0,3,340,0.422,0.7994319127156183
-10.0,3,411,0.392,0.7173151802975504
-10.0,3,457,0.382,0.698765986871896
-10.0,3,382,0.402,0.7039886369173344
-10.0,3,453,0.37,0.6798442455399965
-10.0,3,157,0.726,0.43287880383348165
-10.0,3,88,0.506,0.42924339635031944
-10.0,3,495,0.37,0.8016693263934818
-10.0,3,199,0.578,0.5576886248890173
-10.0,3,403,0.388,0.7629081498297156
-10.0,3,491,0.388,0.6918479850657023
-10.0,3,107,0.516,0.44701347088882015
-10.0,3,83,0.484,0.5037300468026992
-10.0,3,103,0.502,0.4789511595121485
-10.0,3,149,0.744,0.481191103986294
-10.0,3,53,0.418,0.5149366048474453
-10.0,3,441,0.416,0.6661250576075157
-10.0,3,145,0.762,0.3721486517802788
-10.0,3,483,0.414,0.7056559228242418
-10.0,3,187,0.69,0.5336385688222248
-10.0,3,7,0.312,0.09611370900307185
-10.0,3,137,0.788,0.34963574490391897
-10.0,3,208,0.588,0.6119169740360154
-10.0,3,500,0.37,0.6913208534072389
-10.0,3,133,0.828,0.4048606849659512
-10.0,3,56,0.41,0.49400343822772425
-10.0,3,471,0.424,0.6825585654483114
-10.0,3,175,0.746,0.5203026562726208
-10.0,3,246,0.598,0.5691185112859357
-10.0,3,171,0.716,0.5233952501693441
-10.0,3,288,0.424,0.6673435391284375
-10.0,3,51,0.394,0.5368689850977915
-10.0,3,125,0.578,0.40237563228630663
-10.0,3,21,0.316,0.29182477317520955
-10.0,3,121,0.518,0.43416935890862923
-10.0,3,238,0.566,0.6248697514597729
-10.0,3,309,0.442,0.6553766511572143
-10.0,3,163,0.702,0.5292653444713296
-10.0,3,234,0.51,0.6943428226231306
-10.0,3,59,0.396,0.5727595627600093
-10.0,3,276,0.454,0.6974196788292273
-10.0,3,389,0.4,0.7094487727530577
-10.0,3,226,0.514,0.6909420401411197
-10.0,3,24,0.322,0.5055265170071035
-10.0,3,151,0.766,0.5288395448408809
-10.0,3,222,0.6,0.6335173497324603
-10.0,3,268,0.482,0.6014371551154793
-10.0,3,339,0.39,0.6704358561947058
-10.0,3,264,0.522,0.6701343233135797
-10.0,3,260,0.53,0.6488802283772984
-10.0,3,377,0.406,0.6709249165249077
-10.0,3,214,0.616,0.5775959121963601
-10.0,3,210,0.602,0.6182727425807495
-10.0,3,327,0.396,0.7001535075727897
-10.0,3,27,0.368,0.43325666782433125
-10.0,3,252,0.556,0.6313111760925788
-10.0,3,323,0.452,0.6565125107103873
-10.0,3,369,0.37,0.7980816888978888
-10.0,3,75,0.49,0.46227068866679366
-10.0,3,294,0.446,0.6774822316135214
-10.0,3,365,0.396,0.7883428040018072
-10.0,3,290,0.412,0.6825005760546571
-10.0,3,70,0.476,0.47341072058757605
-10.0,3,315,0.448,0.6793269748123691
-10.0,3,240,0.544,0.585110873402927
-10.0,3,311,0.458,0.751449463118667
-10.0,3,357,0.424,0.7048656537126616
-10.0,3,428,0.424,0.722470237691954
-10.0,3,353,0.402,0.7382204511978426
-10.0,3,78,0.49,0.5169589135613016
-10.0,3,395,0.424,0.7646522522014644
-10.0,3,466,0.362,0.8075976395150106
-10.0,3,303,0.432,0.7914249816623092
-10.0,3,391,0.404,0.7758045528081151
-10.0,3,73,0.492,0.4887459827150451
-10.0,3,416,0.392,0.7046980422483383
-10.0,3,43,0.408,0.44328378961032183
-10.0,3,341,0.406,0.7573735609385231
-10.0,3,412,0.414,0.7920606336563683
-10.0,3,458,0.386,0.7988769378755308
-10.0,3,383,0.446,0.7380434234637827
-10.0,3,454,0.37,0.7081190809568135
-10.0,3,6,0.292,0.1078391844118575
-10.0,3,496,0.376,0.7673024734170586
-10.0,3,3,0.22,0.07844039804034299
-10.0,3,404,0.346,0.7108112618378335
-10.0,3,492,0.394,0.705557545380301
-10.0,3,108,0.506,0.5496892127303926
-10.0,3,400,0.392,0.7919869291598693
-10.0,3,446,0.38,0.7156334081870236
-10.0,3,46,0.42,0.5026427504400744
-10.0,3,371,0.398,0.7518091533269385
-10.0,3,442,0.394,0.8027005709772802
-10.0,3,146,0.726,0.4298841450265924
-10.0,3,484,0.406,0.703661070561463
-10.0,3,188,0.654,0.5331279010237998
-10.0,3,41,0.416,0.5257576962021101
-10.0,3,480,0.378,0.7834492167195842
-10.0,3,11,0.246,0.2610171329060932
-10.0,3,138,0.79,0.3438315324041865
-10.0,3,209,0.63,0.6926804883040599
-10.0,3,430,0.412,0.7305876779750159
-10.0,3,134,0.8,0.3876361139114576
-10.0,3,49,0.384,0.581173985114491
-10.0,3,472,0.448,0.7706405422121357
-10.0,3,176,0.716,0.5968053937543166
-10.0,3,19,0.306,0.2555381082374931
-10.0,3,97,0.53,0.5439209563254185
-10.0,3,289,0.428,0.6498720674063886
-10.0,3,126,0.596,0.45945577813117117
-10.0,3,14,0.218,0.2914623715330787
-10.0,3,92,0.516,0.5080560492804506
-10.0,3,122,0.526,0.48345375404864943
-10.0,3,239,0.566,0.6090241523220684
-10.0,3,460,0.394,0.7843350721119353
-10.0,3,164,0.658,0.5950582813559767
-10.0,3,235,0.55,0.6097300995155405
-10.0,3,160,0.72,0.5783825351790352
-10.0,3,277,0.468,0.6293091348170092
-10.0,3,114,0.528,0.48423054307897195
-10.0,3,110,0.52,0.41408811739505763
-10.0,3,227,0.48,0.7414808398832344
-10.0,3,17,0.296,0.24616940610644922
-10.0,3,152,0.764,0.5346815520796142
-10.0,3,223,0.562,0.726178872035381
-10.0,3,269,0.522,0.6464383318102104
